energy,data,uncert
12,0.09,0.09
12.1,0.11,0.11
12.2,0.14,0.14
12.3,0.17,0.17
12.4,0.19,0.19
12.5,0.22,0.22
12.6,0.24,0.24
12.7,0.26,0.26
12.8,0.28,0.28
12.9,0.3,0.3
13,0.32,0.05
13.1,0.34,0.06
13.2,0.36,0.06
13.3,0.38,0.06
13.4,0.41,0.07
13.5,0.46,0.08
13.6,0.53,0.09
13.7,0.62,0.1
13.8,0.73,0.12
13.9,0.88,0.15
14,1.06,0.13
14.1,1.27,0.16
14.2,1.53,0.19
14.3,1.84,0.23
14.4,2.21,0.28
14.5,2.62,0.33
14.6,3.11,0.39
14.7,3.65,0.46
14.8,4.27,0.54
14.9,4.97,0.63
15,5.75,0.34
15.1,6.61,0.39
15.2,7.56,0.45
15.3,8.6,0.51
15.4,9.73,0.58
15.5,10.96,0.65
15.6,12.28,0.73
15.7,13.69,0.81
15.8,15.21,0.9
15.9,16.82,1
16,18.54,1.14
16.1,20.36,1.25
16.2,22.28,1.36
16.3,24.29,1.49
16.4,26.39,1.62
16.5,28.57,1.75
16.6,30.84,1.89
16.7,33.17,2.03
16.8,35.58,2.18
16.9,38.05,2.33
17,40.59,2.55
17.1,43.17,2.71
17.2,45.81,2.88
17.3,48.48,3.04
17.4,51.19,3.21
17.5,53.93,3.39
17.6,56.69,3.56
17.7,59.46,3.73
17.8,62.24,3.91
17.9,65.02,4.08
18,67.79,3.97
18.1,70.54,4.13
18.2,73.28,4.29
18.3,76,4.45
18.4,78.69,4.6
18.5,81.35,4.76
18.6,83.98,4.91
18.7,86.57,5.07
18.8,89.13,5.21
18.9,91.64,5.36
19,94.1,4.79
19.1,96.52,4.91
19.2,98.88,5.03
19.3,101.19,5.15
19.4,103.45,5.27
19.5,105.66,5.38
19.6,107.82,5.49
19.7,109.92,5.6
19.8,111.97,5.7
19.9,113.96,5.8
20,115.91,5.24
20.1,117.79,5.33
20.2,119.63,5.41
20.3,121.41,5.49
20.4,123.14,5.57
20.5,124.82,5.64
20.6,126.45,5.72
20.7,128.03,5.79
20.8,129.56,5.86
20.9,131.05,5.93
21,132.49,5.69
21.1,133.88,5.75
21.2,135.23,5.81
21.3,136.54,5.86
21.4,137.81,5.92
21.5,139.04,5.97
21.6,140.23,6.02
21.7,141.38,6.07
21.8,142.49,6.12
21.9,143.57,6.16
22,144.61,6.17
22.1,145.62,6.22
22.2,146.6,6.26
22.3,147.55,6.3
22.4,148.47,6.34
22.5,149.36,6.38
22.6,150.22,6.41
22.7,151.06,6.45
22.8,151.88,6.48
22.9,152.67,6.52
23,153.44,6.57
23.1,154.19,6.6
23.2,154.92,6.63
23.3,155.63,6.67
23.4,156.33,6.69
23.5,157.01,6.72
23.6,157.69,6.75
23.7,158.35,6.78
23.8,159,6.81
23.9,159.65,6.84
24,160.29,6.84
24.1,160.93,6.86
24.2,161.57,6.89
24.3,162.22,6.92
24.4,162.88,6.95
24.5,163.54,6.98
24.6,164.23,7
24.7,164.94,7.03
24.8,165.68,7.07
24.9,166.44,7.1
25,167.24,7.05
25.1,168.08,7.09
25.2,168.95,7.12
25.3,169.86,7.16
25.4,170.8,7.2
25.5,171.76,7.24
25.6,172.76,7.28
25.7,173.77,7.32
25.8,174.8,7.37
25.9,175.85,7.41
26,176.92,7.38
26.1,177.99,7.42
26.2,179.05,7.47
26.3,180.08,7.51
26.4,181.06,7.55
26.5,181.97,7.59
26.6,182.77,7.62
26.7,183.46,7.65
26.8,184.02,7.67
26.9,184.41,7.69
27,184.61,7.73
27.1,184.63,7.73
27.2,184.45,7.72
27.3,184.09,7.71
27.4,183.57,7.69
27.5,182.89,7.66
27.6,182.08,7.63
27.7,181.14,7.59
27.8,180.09,7.54
27.9,178.94,7.49
28,177.7,7.49
28.1,176.39,7.43
28.2,175.01,7.37
28.3,173.58,7.31
28.4,172.11,7.25
28.5,170.6,7.19
28.6,169.08,7.12
28.7,167.54,7.06
28.8,166,6.99
28.9,164.47,6.93
29,162.96,6.84
29.1,161.48,6.78
29.2,160.03,6.72
29.3,158.61,6.66
29.4,157.22,6.6
29.5,155.85,6.55
29.6,154.5,6.49
29.7,153.18,6.43
