energy,data,uncert
7,0.02251999,0.0009008
7.1,0.03537857,0.001415143
7.2,0.04829,0.0019316
7.3,0.06130717,0.002452287
7.4,0.07448292,0.002979317
7.5,0.08787012,0.003514805
7.6,0.10151108,0.004060443
7.7,0.11540595,0.004616238
7.8,0.12954432,0.005181773
7.9,0.14391577,0.005756631
8,0.1585099,0.006340396
8.1,0.17331928,0.006932771
8.2,0.18834846,0.007533938
8.3,0.20360496,0.008144198
8.4,0.21909632,0.008763853
8.5,0.23483007,0.009393203
8.6,0.25081287,0.010032515
8.7,0.26704792,0.010681917
8.8,0.28353756,0.011341502
8.9,0.30028414,0.012011366
9,0.31728998,0.034822258
9.1,0.33455773,0.036717376
9.2,0.35209128,0.038641666
9.3,0.36989479,0.040595583
9.4,0.38797247,0.042579591
9.5,0.40632848,0.044594144
9.6,0.42496701,0.046639704
9.7,0.44389225,0.048716731
9.8,0.46310838,0.050825682
9.9,0.48261957,0.052967015
10,0.50243002,0.055141192
10.1,0.52254394,0.057348675
10.2,0.5429657,0.059589943
10.3,0.5636997,0.061865478
10.4,0.58475033,0.064175764
10.5,0.606122,0.066521283
10.6,0.62781911,0.06890252
10.7,0.64984606,0.071319955
10.8,0.67220724,0.073774072
10.9,0.69490706,0.076265355
11,0.71794993,0.074070751
11.1,0.74134032,0.076483933
11.2,0.76508314,0.078933475
11.3,0.78918335,0.081419888
11.4,0.81364593,0.083943688
11.5,0.83847586,0.086505387
11.6,0.86367812,0.089105499
11.7,0.88925768,0.091744537
11.8,0.91521953,0.094423016
11.9,0.94156865,0.097141449
12,0.96831,0.099900349
12.1,0.99544857,0.10270023
12.2,1.02298939,0.105541611
12.3,1.05093748,0.10842501
12.4,1.07929787,0.111350945
12.5,1.10807557,0.114319935
12.6,1.13727563,0.117332499
12.7,1.16690305,0.120389154
12.8,1.19696288,0.123490421
12.9,1.22746013,0.126636816
13,1.25839984,0.101892761
13.1,1.28978708,0.104434189
13.2,1.3216272,0.107012287
13.3,1.3539256,0.109627491
13.4,1.38668768,0.11228024
13.5,1.41991886,0.114970972
13.6,1.45362452,0.117700123
13.7,1.48781007,0.12046813
13.8,1.52248092,0.123275432
13.9,1.55764247,0.126122467
14,1.5933001,0.129009668
14.1,1.62945922,0.131937476
14.2,1.66612493,0.134906302
14.3,1.70330236,0.137916562
14.4,1.74099659,0.140968668
14.5,1.77921274,0.144063033
14.6,1.81795591,0.147200072
14.7,1.8572312,0.150380196
14.8,1.89704371,0.153603819
14.9,1.93739854,0.156871354
15,1.97830081,0.119702036
15.1,2.01975545,0.122210353
15.2,2.0617668,0.124752355
15.3,2.10433906,0.127328296
15.4,2.14747641,0.129938429
15.5,2.19118304,0.132583008
15.6,2.23546314,0.135262286
15.7,2.2803209,0.137976517
15.8,2.32576049,0.140725953
15.9,2.37178612,0.143510849
16,2.41840196,0.146331457
16.1,2.46561197,0.149188016
16.2,2.51341916,0.15208071
16.3,2.56182629,0.155009704
16.4,2.61083613,0.157975167
16.5,2.66045145,0.160977266
16.6,2.71067502,0.164016169
16.7,2.76150961,0.167092043
16.8,2.812958,0.170205056
16.9,2.86502294,0.173355376
17,2.91770721,0.176543169
17.1,2.97101295,0.179768566
17.2,3.02493992,0.183031552
17.3,3.07948722,0.186332073
17.4,3.13465397,0.189670075
17.5,3.1904393,0.193045506
17.6,3.24684231,0.196458311
17.7,3.30386213,0.199908438
17.8,3.36149787,0.203395832
17.9,3.41974865,0.206920441
18,3.47861362,0.210482214
18.1,3.53809101,0.214081042
18.2,3.59817587,0.217716626
18.3,3.65886241,0.221388617
18.4,3.72014481,0.225096662
