energy,data,uncert
3.8,0.18,0.007
3.9,0.19,0.007
4,0.38,0.02
4.1,0.58,0.02
4.2,0.83,0.03
4.3,1.33,0.05
4.4,1.66,0.07
4.5,2.08,0.08
4.6,2.58,0.1
4.7,3.1,0.12
4.8,3.83,0.15
4.9,5.41,0.22
5,8.3,8.3
5.1,14.1,14.1
5.2,22.8,22.8
5.3,34.53,34.53
5.4,50.34,50.34
5.5,67.63,67.63
5.6,85.76,85.76
5.7,104.15,104.15
5.8,122.16,122.16
5.9,139.2,139.2
6,154.64,7.88
6.1,168.03,8.57
6.2,179.46,9.15
6.3,189.19,9.64
6.4,197.47,10.07
6.5,204.55,10.43
6.6,210.68,10.74
6.7,216.12,11.02
6.8,221.11,11.27
6.9,225.9,11.52
7,230.75,9.86
7.1,235.86,10.08
7.2,241.24,10.31
7.3,246.84,10.55
7.4,252.63,10.79
7.5,258.57,11.05
7.6,264.61,11.3
7.7,270.72,11.57
7.8,276.86,11.83
7.9,282.98,12.09
8,289.04,13.17
8.1,295.02,13.44
8.2,300.89,13.71
8.3,306.63,13.97
8.4,312.25,14.22
8.5,317.73,14.47
8.6,323.04,14.72
8.7,328.19,14.95
8.8,333.16,15.18
8.9,337.94,15.39
9,342.52,15.18
9.1,346.87,15.38
9.2,351.01,15.56
9.3,354.93,15.73
9.4,358.63,15.9
9.5,362.11,16.05
9.6,365.36,16.19
9.7,368.38,16.33
9.8,371.18,16.45
9.9,373.75,16.57
10,376.09,15.77
10.1,378.2,15.86
10.2,380.09,15.94
10.3,381.76,16.01
10.4,383.23,16.07
10.5,384.51,16.13
10.6,385.61,16.17
10.7,386.52,16.21
10.8,387.28,16.24
10.9,387.88,16.27
11,388.33,16.29
11.1,388.65,16.3
11.2,388.83,16.31
11.3,388.88,16.31
11.4,388.81,16.31
11.5,388.61,16.3
11.6,388.29,16.28
11.7,387.85,16.27
11.8,387.3,16.24
11.9,386.63,16.21
12,385.85,15.66
12.1,384.96,15.63
12.2,383.96,15.59
12.3,382.83,15.54
12.4,381.57,15.49
12.5,380.17,15.43
12.6,378.61,15.37
12.7,376.89,15.3
12.8,375,15.22
12.9,372.93,15.14
13,370.68,15.05
13.1,368.22,14.95
13.2,365.56,14.84
13.3,362.69,14.72
13.4,359.61,14.6
13.5,356.3,14.46
13.6,352.76,14.32
13.7,348.99,14.17
13.8,344.98,14
13.9,340.73,13.83
14,336.22,13.65
14.1,331.45,13.45
14.2,326.45,13.25
14.3,321.22,13.04
14.4,315.79,12.82
14.5,310.18,12.59
14.6,304.39,12.36
14.7,298.46,12.11
14.8,292.39,11.87
14.9,286.2,11.62
15,279.93,11.36
15.1,273.57,11.1
15.2,267.16,10.84
15.3,260.71,10.58
15.4,254.26,10.32
15.5,247.82,10.06
15.6,241.42,9.8
15.7,235.08,9.54
15.8,228.82,9.29
15.9,222.67,9.04
16,216.64,8.83
16.1,210.77,8.59
16.2,205.05,8.36
16.3,199.47,8.13
16.4,194.05,7.91
16.5,188.78,7.69
16.6,183.65,7.48
16.7,178.66,7.28
16.8,173.83,7.08
16.9,169.13,6.89
17,164.58,6.71
17.1,160.17,6.53
17.2,155.9,6.35
17.3,151.77,6.19
17.4,147.78,6.02
17.5,143.92,5.87
17.6,140.2,5.71
17.7,136.62,5.57
17.8,133.17,5.43
17.9,129.85,5.29
18,126.66,5.3
18.1,123.6,5.17
18.2,120.67,5.05
18.3,117.86,4.93
18.4,115.17,4.82
18.5,112.59,4.71
18.6,110.11,4.6
18.7,107.75,4.51
18.8,105.48,4.41
18.9,103.3,4.32
19,101.22,4.23
19.1,99.22,4.15
19.2,97.31,4.07
19.3,95.47,3.99
19.4,93.7,3.92
19.5,92,3.85
19.6,90.37,3.78
19.7,88.8,3.71
19.8,87.28,3.65
19.9,85.81,3.59
20,84.39,3.52
20.1,83.01,3.46
20.2,81.68,3.4
20.3,80.38,3.35
20.4,79.12,3.3
20.5,77.9,3.25
20.6,76.72,3.2
20.7,75.57,3.15
20.8,74.45,3.1
20.9,73.37,3.06
21,72.32,3.01
21.1,71.31,2.97
21.2,70.32,2.93
21.3,69.36,2.89
21.4,68.43,2.85
21.5,67.52,2.81
21.6,66.65,2.78
21.7,65.79,2.74
21.8,64.96,2.71
21.9,64.16,2.67
22,63.37,2.64
22.1,62.6,2.61
22.2,61.86,2.58
22.3,61.13,2.55
22.4,60.42,2.52
22.5,59.73,2.49
22.6,59.06,2.46
22.7,58.41,2.43
22.8,57.77,2.41
22.9,57.15,2.38
23,56.54,2.36
23.1,55.95,2.33
23.2,55.37,2.31
23.3,54.8,2.28
23.4,54.25,2.26
23.5,53.71,2.24
23.6,53.19,2.22
23.7,52.67,2.2
23.8,52.17,2.17
23.9,51.68,2.15
24,51.19,2.13
24.1,50.72,2.11
24.2,50.26,2.09
24.3,49.8,2.08
24.4,49.36,2.06
24.5,48.92,2.04
24.6,48.49,2.02
24.7,48.07,2
24.8,47.66,1.99
24.9,47.25,1.97
25,46.86,1.94
25.1,46.47,1.93
25.2,46.09,1.91
25.3,45.72,1.9
25.4,45.35,1.88
25.5,44.99,1.87
25.6,44.64,1.85
25.7,44.29,1.84
25.8,43.95,1.82
25.9,43.62,1.81
26,43.29,1.8
26.1,42.97,1.78
26.2,42.65,1.77
26.3,42.34,1.76
26.4,42.03,1.74
26.5,41.74,1.73
26.6,41.44,1.72
26.7,41.15,1.71
26.8,40.87,1.7
26.9,40.59,1.68
27,40.31,1.67
27.1,40.05,1.66
27.2,39.78,1.65
27.3,39.52,1.64
27.4,39.26,1.63
27.5,39.01,1.62
27.6,38.77,1.61
27.7,38.52,1.6
27.8,38.28,1.59
27.9,38.05,1.58
28,37.82,1.57
28.1,37.59,1.56
28.2,37.37,1.55
28.3,37.14,1.54
28.4,36.93,1.53
28.5,36.72,1.52
28.6,36.51,1.51
28.7,36.3,1.51
28.8,36.1,1.5
28.9,35.9,1.49
29,35.71,1.48
29.1,35.52,1.47
29.2,35.33,1.47
29.3,35.15,1.46
29.4,34.98,1.45
29.5,34.8,1.44
29.6,34.64,1.44
29.7,34.47,1.43
29.8,34.31,1.42
29.9,34.16,1.42
30,34,1.41
30.1,33.86,1.41
30.2,33.71,1.4
30.3,33.58,1.4
30.4,33.44,1.39
30.5,33.31,1.39
30.6,33.18,1.38
30.7,33.06,1.38
30.8,32.94,1.37
30.9,32.83,1.37
31,32.71,1.36
31.1,32.61,1.36
31.2,32.5,1.35
31.3,32.4,1.35
31.4,32.3,1.34
31.5,32.2,1.34
31.6,32.11,1.34
31.7,32.02,1.33
31.8,31.93,1.33
31.9,31.84,1.32
32,31.76,1.32
32.1,31.67,1.32
32.2,31.59,1.31
32.3,31.52,1.31
32.4,31.44,1.31
32.5,31.37,1.3
32.6,31.29,1.3
32.7,31.22,1.3
32.8,31.15,1.3
32.9,31.09,1.29
33,31.02,1.29
33.1,30.95,1.29
33.2,30.89,1.28
33.3,30.82,1.28
33.4,30.76,1.28
33.5,30.7,1.28
33.6,30.64,1.27
33.7,30.58,1.27
33.8,30.51,1.27
33.9,30.45,1.27
34,30.39,1.26
34.1,30.33,1.26
34.2,30.27,1.26
34.3,30.21,1.26
34.4,30.15,1.25
34.5,30.09,1.25
34.6,30.03,1.25
34.7,29.96,1.25
34.8,29.9,1.24
34.9,29.84,1.24
35,29.77,1.24
35.1,29.71,1.24
35.2,29.64,1.24
35.3,29.57,1.23
35.4,29.5,1.23
35.5,29.43,1.23
35.6,29.36,1.23
35.7,29.29,1.22
35.8,29.21,1.22
35.9,29.14,1.22
36,29.06,1.21
36.1,28.99,1.21
36.2,28.91,1.21
36.3,28.83,1.2
36.4,28.75,1.2
36.5,28.67,1.2
36.6,28.59,1.19
36.7,28.51,1.19
36.8,28.43,1.19
36.9,28.35,1.18
37,28.26,1.18
37.1,28.18,1.18
37.2,28.09,1.17
37.3,28,1.17
37.4,27.92,1.17
37.5,27.83,1.16
37.6,27.74,1.16
37.7,27.65,1.15
37.8,27.56,1.15
37.9,27.47,1.15
38,27.38,1.14
38.1,27.29,1.14
38.2,27.19,1.14
38.3,27.1,1.13
38.4,27,1.13
38.5,26.91,1.12
38.6,26.81,1.12
38.7,26.72,1.12
38.8,26.62,1.11
38.9,26.52,1.11
39,26.42,1.1
39.1,26.32,1.1
39.2,26.22,1.1
39.3,26.12,1.09
39.4,26.02,1.09
39.5,25.92,1.08
39.6,25.82,1.08
39.7,25.72,1.07
39.8,25.62,1.07
39.9,25.51,1.07
40,25.41,1.07
40.1,25.3,1.07
40.2,25.2,1.06
40.3,25.1,1.06
40.4,24.99,1.05
40.5,24.88,1.05
40.6,24.78,1.04
40.7,24.67,1.04
40.8,24.57,1.04
40.9,24.46,1.03
41,24.35,1.03
41.1,24.24,1.02
41.2,24.14,1.02
41.3,24.03,1.01
41.4,23.92,1.01
41.5,23.82,1
41.6,23.71,1
41.7,23.6,0.99
41.8,23.49,0.99
41.9,23.39,0.99
42,23.28,0.98
42.1,23.17,0.98
42.2,23.07,0.97
42.3,22.96,0.97
42.4,22.85,0.96
42.5,22.75,0.96
42.6,22.64,0.95
42.7,22.54,0.95
42.8,22.43,0.95
42.9,22.33,0.94
43,22.22,0.94
43.1,22.12,0.93
43.2,22.02,0.93
43.3,21.92,0.92
43.4,21.81,0.92
43.5,21.71,0.92
43.6,21.61,0.91
43.7,21.51,0.91
43.8,21.41,0.9
43.9,21.32,0.9
44,21.22,0.89
44.1,21.12,0.89
44.2,21.03,0.89
44.3,20.93,0.88
44.4,20.84,0.88
44.5,20.74,0.87
44.6,20.65,0.87
44.7,20.56,0.87
44.8,20.47,0.86
44.9,20.38,0.86
45,20.29,0.87
45.1,20.21,0.87
45.2,20.12,0.86
45.3,20.03,0.86
45.4,19.95,0.86
45.5,19.87,0.85
45.6,19.79,0.85
45.7,19.71,0.85
45.8,19.63,0.84
45.9,19.55,0.84
46,19.47,0.84
46.1,19.39,0.83
46.2,19.32,0.83
46.3,19.24,0.83
46.4,19.17,0.82
46.5,19.1,0.82
46.6,19.02,0.82
46.7,18.95,0.81
46.8,18.88,0.81
46.9,18.81,0.81
47,18.74,0.8
47.1,18.68,0.8
47.2,18.61,0.8
47.3,18.54,0.8
47.4,18.48,0.79
47.5,18.41,0.79
47.6,18.35,0.79
47.7,18.28,0.79
47.8,18.22,0.78
47.9,18.16,0.78
48,18.1,0.78
48.1,18.04,0.77
48.2,17.98,0.77
48.3,17.92,0.77
48.4,17.86,0.77
48.5,17.8,0.76
48.6,17.74,0.76
48.7,17.68,0.76
48.8,17.62,0.76
48.9,17.57,0.75
49,17.51,0.75
49.1,17.45,0.75
49.2,17.4,0.75
49.3,17.34,0.74
49.4,17.29,0.74
49.5,17.24,0.74
49.6,17.18,0.74
49.7,17.13,0.74
49.8,17.07,0.73
49.9,17.02,0.73
50,16.97,0.75
50.1,16.92,0.75
50.2,16.86,0.75
50.3,16.81,0.74
50.4,16.76,0.74
50.5,16.71,0.74
50.6,16.66,0.74
50.7,16.61,0.73
50.8,16.56,0.73
50.9,16.51,0.73
51,16.46,0.73
51.1,16.41,0.73
51.2,16.36,0.72
51.3,16.31,0.72
51.4,16.26,0.72
51.5,16.21,0.72
51.6,16.16,0.71
51.7,16.12,0.71
51.8,16.07,0.71
51.9,16.02,0.71
52,15.97,0.71
52.1,15.93,0.7
52.2,15.88,0.7
52.3,15.83,0.7
52.4,15.79,0.7
52.5,15.74,0.7
52.6,15.7,0.69
52.7,15.65,0.69
52.8,15.61,0.69
52.9,15.56,0.69
53,15.52,0.69
53.1,15.47,0.68
53.2,15.43,0.68
53.3,15.38,0.68
53.4,15.34,0.68
53.5,15.3,0.68
53.6,15.25,0.67
53.7,15.21,0.67
53.8,15.17,0.67
53.9,15.13,0.67
54,15.08,0.67
54.1,15.04,0.66
54.2,15,0.66
54.3,14.96,0.66
54.4,14.92,0.66
54.5,14.88,0.66
54.6,14.84,0.66
54.7,14.8,0.65
54.8,14.76,0.65
54.9,14.72,0.65
55,14.68,0.65
55.1,14.64,0.65
55.2,14.6,0.65
55.3,14.56,0.64
55.4,14.52,0.64
55.5,14.48,0.64
