energy,data,uncert
2.2,0.16,0.01
2.3,0.71,0.04
2.4,1.3,0.08
2.5,1.99,0.12
2.6,2.8,0.17
2.7,3.76,0.22
2.8,4.87,0.29
2.9,6.12,0.36
3,7.52,0.45
3.1,9.07,0.54
3.2,10.77,0.64
3.3,12.64,0.75
3.4,14.65,0.87
3.5,16.83,1
3.6,19.17,1.14
3.7,21.68,1.29
3.8,24.35,1.44
3.9,27.19,1.61
4,30.2,1.79
4.1,33.39,1.98
4.2,36.74,2.18
4.3,40.27,2.39
4.4,43.97,2.61
4.5,47.84,2.84
4.6,51.88,3.08
4.7,56.08,3.33
4.8,60.45,3.59
4.9,64.99,3.85
5,69.69,3.69
5.1,74.55,3.95
5.2,79.52,4.22
5.3,84.55,4.48
5.4,89.61,4.75
5.5,94.62,5.02
5.6,99.55,5.28
5.7,104.35,5.53
5.8,108.96,5.78
5.9,113.34,6.01
6,117.44,6.23
6.1,121.22,6.43
6.2,124.69,6.61
6.3,127.9,6.78
6.4,130.86,6.94
6.5,133.61,7.08
6.6,136.17,7.22
6.7,138.59,7.35
6.8,140.88,7.47
6.9,143.07,7.59
7,145.21,6.96
7.1,147.3,7.06
7.2,149.38,7.16
7.3,151.45,7.26
7.4,153.53,7.36
7.5,155.63,7.46
7.6,157.77,7.56
7.7,159.95,7.67
7.8,162.19,7.77
7.9,164.5,7.88
8,166.9,8
8.1,169.4,8.12
8.2,171.99,8.24
8.3,174.67,8.37
8.4,177.41,8.5
8.5,180.22,8.64
8.6,183.08,8.77
8.7,185.98,8.91
8.8,188.92,9.05
8.9,191.89,9.2
9,194.87,8.03
9.1,197.85,8.15
9.2,200.81,8.27
9.3,203.74,8.4
9.4,206.6,8.51
9.5,209.37,8.63
9.6,212.03,8.74
9.7,214.55,8.84
9.8,216.92,8.94
9.9,219.1,9.03
10,221.08,9.11
10.1,222.83,9.18
10.2,224.34,9.24
10.3,225.59,9.3
10.4,226.58,9.34
10.5,227.3,9.37
10.6,227.72,9.38
10.7,227.84,9.39
10.8,227.65,9.38
10.9,227.14,9.36
11,226.29,9.28
11.1,225.09,9.23
11.2,223.56,9.17
11.3,221.72,9.1
11.4,219.58,9.01
11.5,217.16,8.91
11.6,214.47,8.8
11.7,211.54,8.68
11.8,208.38,8.55
11.9,205.01,8.41
12,201.45,8.26
12.1,197.7,8.11
12.2,193.81,7.95
12.3,189.77,7.78
12.4,185.62,7.61
12.5,181.37,7.44
12.6,177.05,7.26
12.7,172.68,7.08
12.8,168.27,6.9
12.9,163.86,6.72
13,159.45,6.64
13.1,155.06,6.46
13.2,150.72,6.28
13.3,146.41,6.1
13.4,142.16,5.92
13.5,137.96,5.75
13.6,133.83,5.57
13.7,129.77,5.4
13.8,125.78,5.24
13.9,121.88,5.08
14,118.07,4.92
14.1,114.35,4.76
14.2,110.73,4.61
14.3,107.21,4.47
14.4,103.79,4.32
